區域別,鄰數,戶數,男,女,合計
香湖里,12,340,496,517,"1,013"
湖邊里,16,878,"1,150","1,301","2,451"
北榮里,17,"1,002","1,312","1,324","2,636"
重興里,15,871,"1,187","1,174","2,361"
竹圍里,31,"2,098","2,567","2,726","5,293"
新厝里,18,"1,712","2,485","2,640","5,125"
保安里,12,"1,450","1,856","1,973","3,829"
北湖里,17,"1,170","1,791","1,745","3,536"
下埤里,11,612,937,877,"1,814"
竹村里,9,486,657,622,"1,279"
大溪里,14,861,"1,257","1,234","2,491"
福全里,29,"1,959","2,333","2,480","4,813"
西平里,20,"1,465","1,933","2,028","3,961"
磚磘里,20,"1,681","1,956","2,288","4,244"
港坪里,15,"1,401","1,980","2,103","4,083"
頭港里,7,749,"1,119","1,060","2,179"
劉厝里,33,"3,043","4,027","4,167","8,194"
新西里,19,925,"1,209","1,199","2,408"
書院里,19,968,"1,097","1,055","2,152"
培元里,13,775,940,"1,021","1,961"
垂楊里,10,887,"1,128","1,159","2,287"
車店里,21,"2,672","3,511","3,869","7,380"
福民里,24,"2,665","3,400","3,699","7,099"
湖內里,38,"1,826","2,738","2,798","5,536"
美源里,19,"1,666","2,057","2,239","4,296"
育英里,22,826,977,"1,098","2,075"
致遠里,20,919,987,"1,163","2,150"
光路里,23,"2,288","3,153","3,256","6,409"
翠岱里,13,771,811,871,"1,682"
自強里,19,781,943,"1,047","1,990"
永和里,14,953,"1,081","1,118","2,199"
新富里,17,793,926,958,"1,884"
文化里,14,"1,147","1,223","1,260","2,483"
西榮里,19,"1,178","1,270","1,302","2,572"
國華里,12,679,707,712,"1,419"
番社里,15,674,755,783,"1,538"
導明里,15,748,852,861,"1,713"
慶安里,17,678,892,891,"1,783"
後驛里,16,985,"1,181","1,208","2,389"
福安里,22,"1,838","2,402","2,635","5,037"
獅子里,14,"1,227","1,571","1,778","3,349"
紅瓦里,8,662,"1,043","1,017","2,060"
保福里,13,"1,708","2,073","2,318","4,391"
保生里,15,"1,897","2,459","2,604","5,063"
北新里,5,466,709,669,"1,378"
總　計,772,"55,380","71,138","74,847","145,985"
